postcode,provider_count_at_postcode,unique_kvk_holders,lrk_id,type_oko,kvk_nummer,inschrijfdatum,woonplaats,aantal_kindplaatsen
3344PK,9,3,116989737,BSO,41120692,01-08-2017,Hendrik-Ido-Ambacht,60
3344PK,9,3,133101678,KDV,41120692,01-05-2013,Hendrik-Ido-Ambacht,80
3344PK,9,3,136124355,BSO,41120692,01-01-2010,Hendrik-Ido-Ambacht,120
3344PK,9,3,155997075,KDV,41120692,01-01-2010,Hendrik-Ido-Ambacht,158
3344PK,9,3,275618031,KDV,41119006,19-12-2016,Hendrik-Ido-Ambacht,16
3344PK,9,3,288857549,KDV,24406671,12-12-2017,Hendrik-Ido-Ambacht,16
3344PK,9,3,309905175,BSO,24406671,09-08-2018,Hendrik-Ido-Ambacht,44
3344PK,9,3,776329170,BSO,41120692,01-05-2013,Hendrik-Ido-Ambacht,97
3344PK,9,3,891700869,BSO,41119006,01-02-2016,Hendrik-Ido-Ambacht,60
7425GX,8,3,107486593,KDV,08141555,25-06-2025,Deventer,28
7425GX,8,3,193082329,BSO,08224017,30-04-2014,Deventer,65
7425GX,8,3,480091894,BSO,08203056,25-11-2014,Deventer,62
7425GX,8,3,571176161,KDV,08141555,12-08-2014,Deventer,16
7425GX,8,3,610255435,KDV,08224017,30-04-2014,Deventer,16
7425GX,8,3,637315911,BSO,08141555,21-10-2014,Deventer,22
7425GX,8,3,686384398,BSO,08141555,01-01-2010,Deventer,38
7425GX,8,3,994845789,KDV,08203056,25-11-2014,Deventer,16
2642JK,7,3,105097871,BSO,30278497,06-04-2017,Pijnacker,33
2642JK,7,3,193527108,KDV,41154302,01-09-2012,Pijnacker,32
2642JK,7,3,235312137,KDV,41146828,19-04-2005,Pijnacker,48
2642JK,7,3,546791372,BSO,30278497,01-03-2022,Pijnacker,22
2642JK,7,3,708808190,BSO,41146828,01-01-2003,Pijnacker,121
2642JK,7,3,785437459,KDV,30278497,21-03-2019,Pijnacker,41
2642JK,7,3,852466067,KDV,41146828,01-01-2003,Pijnacker,36
7006SM,7,2,140465881,KDV,62152831,01-08-2023,Doetinchem,32
7006SM,7,2,202337145,BSO,62152831,01-05-2025,Doetinchem,22
7006SM,7,2,202724165,BSO,62152831,19-08-2016,Doetinchem,16
7006SM,7,2,210036047,KDV,41208044,09-05-2016,Doetinchem,16
7006SM,7,2,212577852,BSO,41208044,19-10-2010,Doetinchem,32
