lrk_id,type_oko,lrk_status,inschrijfdatum,uitschrijfdatum,kvk_nummer,vestigingsnummer,rechtsvorm,postcode,woonplaats,signal
100977236,KDV,Uitgeschreven,05-03-2018,01-01-2021,01124747,000009180168,,9934RC,Delfzijl,kvk_not_in_active_register
101085163,KDV,Uitgeschreven,01-01-2017,01-03-2018,51513773,,,3295EK,'s-Gravendeel,kvk_not_in_active_register
101189321,BSO,Uitgeschreven,03-09-2013,09-08-2018,24411311,000027671860,,2861XT,Bergambacht,kvk_not_in_active_register
101192058,BSO,Uitgeschreven,11-01-2005,16-07-2020,50801694,000012611476,,8315PR,Luttelgeest,kvk_not_in_active_register
101272911,KDV,Ingeschreven,24-11-2016,,76944166,000031386784,Besloten Vennootschap,9644VL,Veendam,kvk_not_in_active_register
101444382,KDV,Uitgeschreven,25-08-2014,01-02-2018,41080383,,,5262JH,Vught,kvk_not_in_active_register
101465373,KDV,Uitgeschreven,19-07-2012,01-09-2020,54503965,000024261769,,1657AC,Abbekerk,kvk_not_in_active_register
101722345,GOB,Uitgeschreven,14-03-2012,01-11-2022,54347041,,,4941JN,Raamsdonksveer,kvk_not_in_active_register
101727240,BSO,Uitgeschreven,29-08-2014,08-03-2018,63909928,,,2717XV,Zoetermeer,kvk_not_in_active_register
101780709,KDV,Uitgeschreven,12-07-2011,13-10-2017,51907283,,,5133NE,Riel,kvk_not_in_active_register
102095498,KDV,Uitgeschreven,01-08-2015,01-05-2018,17226838,000033920419,,5251LW,Vlijmen,kvk_not_in_active_register
102202497,KDV,Uitgeschreven,27-02-2012,01-05-2020,64239624,000030288543,,3471GE,Kamerik,kvk_not_in_active_register
102275282,BSO,Uitgeschreven,01-01-2014,15-07-2023,58662545,000028000307,,5632DG,Eindhoven,kvk_not_in_active_register
102302169,KDV,Uitgeschreven,30-08-2016,31-08-2022,09091432,000041390989,,3772TX,Barneveld,kvk_not_in_active_register
102429145,BSO,Uitgeschreven,01-01-2006,08-07-2019,17185283,,,5706AX,Helmond,kvk_not_in_active_register
102543689,BSO,Uitgeschreven,25-09-2012,07-10-2020,05066414,000010120688,,8026PB,Zwolle,kvk_not_in_active_register
102599312,GOB,Uitgeschreven,01-10-2012,15-04-2019,55845746,000025457861,,6812AX,Arnhem,kvk_not_in_active_register
102745493,KDV,Uitgeschreven,02-01-2012,01-01-2019,41035101,000022284176,,3882NK,Putten,kvk_not_in_active_register
103209724,BSO,Uitgeschreven,16-08-2016,03-09-2018,58244824,,,7552DV,Hengelo,kvk_not_in_active_register
103380723,KDV,Uitgeschreven,01-01-2010,15-11-2021,32108382,,,3825BS,Amersfoort,kvk_not_in_active_register
103474067,GOB,Uitgeschreven,01-09-2010,29-01-2018,50684639,,,6659BD,Wamel,kvk_not_in_active_register
103475205,KDV,Uitgeschreven,03-11-2013,20-07-2019,57529892,000000000000,,3454CG,De Meern,kvk_not_in_active_register
103482933,KDV,Uitgeschreven,11-05-2017,01-01-2019,68016778,,,2573NP,'s-Gravenhage,kvk_not_in_active_register
103545189,BSO,Uitgeschreven,30-03-2012,28-12-2018,63364379,000063364379,,2582CH,'s-Gravenhage,kvk_not_in_active_register
103773502,GOB,Uitgeschreven,01-01-2010,13-05-2022,04088568,,,9761VK,Eelde,kvk_not_in_active_register
103950965,KDV,Uitgeschreven,26-09-2016,01-08-2019,63392062,000035041730,,1852LN,Heiloo,kvk_not_in_active_register
104208120,BSO,Uitgeschreven,04-04-2008,01-06-2019,22058480,000022058480,,4695CJ,Sint-Maartensdijk,kvk_not_in_active_register
104342298,KDV,Uitgeschreven,27-12-2012,01-02-2018,41080383,,,5262BN,Vught,kvk_not_in_active_register
104609746,KDV,Uitgeschreven,03-06-2019,01-03-2021,08106780,000028003845,,8091KK,Wezep,kvk_not_in_active_register
104665804,GOB,Uitgeschreven,01-09-2014,01-01-2018,62436465,000062436465,,1221GV,Hilversum,kvk_not_in_active_register
104831273,BSO,Uitgeschreven,01-09-2014,15-11-2021,32108382,000004992903,,3825BS,Amersfoort,kvk_not_in_active_register
105033601,BSO,Uitgeschreven,01-04-2015,28-11-2018,09155585,000007763964,,6645BR,Winssen,kvk_not_in_active_register
105087920,KDV,Uitgeschreven,01-01-2010,13-05-2024,54006295,,,5345AE,Oss,kvk_not_in_active_register
105296624,KDV,Uitgeschreven,16-12-2011,31-08-2019,72981385,,,2224XA,Katwijk,kvk_not_in_active_register
105319922,BSO,Uitgeschreven,01-01-2007,04-10-2019,17185283,,,5702SM,Helmond,kvk_not_in_active_register
105397301,KDV,Uitgeschreven,01-04-2015,08-12-2018,41067813,000041067813,,6077AS,Sint Odiliënberg,kvk_not_in_active_register
105447663,GOB,Uitgeschreven,26-01-2017,01-09-2024,67395929,000035940980,,7161JD,Neede,kvk_not_in_active_register
105500501,BSO,Uitgeschreven,18-03-2013,31-03-2018,39051999,000009861343,,1324EV,Almere,kvk_not_in_active_register
105750293,GOB,Uitgeschreven,01-01-2010,01-04-2018,52873056,,,2103SB,Heemstede,kvk_not_in_active_register
105754122,BSO,Uitgeschreven,01-01-2010,10-09-2022,32155094,000015959058,,1321RT,Almere,kvk_not_in_active_register
105915701,KDV,Uitgeschreven,01-10-2014,07-03-2019,50252461,000020673698,,8471PK,Wolvega,kvk_not_in_active_register
106005467,KDV,Ingeschreven,18-01-2013,,85987246,000014327856,Besloten Vennootschap,6666AD,Heteren,kvk_not_in_active_register
106218888,KDV,Uitgeschreven,18-10-2016,01-02-2018,65992172,,,9045PZ,Bitgummole,kvk_not_in_active_register
106278769,GOB,Uitgeschreven,01-01-2010,15-01-2018,67047033,,,2584TX,'s-Gravenhage,kvk_not_in_active_register
106483122,BSO,Uitgeschreven,09-08-2018,01-10-2022,27301844,,,2583JH,'s-Gravenhage,kvk_not_in_active_register
106544834,BSO,Uitgeschreven,01-01-2018,25-09-2019,41120727,,,4122GA,Zijderveld,kvk_not_in_active_register
106661474,GOB,Uitgeschreven,01-01-2010,14-08-2012,34239423,,,1015AS,Amsterdam,kvk_not_in_active_register
106667750,KDV,Uitgeschreven,01-03-2011,28-09-2021,65057996,000007451148,,4561CR,Hulst,kvk_not_in_active_register
106720053,KDV,Uitgeschreven,01-01-2010,01-12-2024,34283519,000007322887,,1093MA,Amsterdam,kvk_not_in_active_register
106763544,BSO,Uitgeschreven,01-01-2005,19-04-2021,08215454,000033550824,,7327DJ,Apeldoorn,kvk_not_in_active_register
106803797,BSO,Uitgeschreven,29-10-2007,01-08-2019,61182850,000028137868,,7328TK,Apeldoorn,kvk_not_in_active_register
106815763,GOB,Uitgeschreven,01-11-2016,31-07-2019,62841882,000031815561,,4849BE,Dorst,kvk_not_in_active_register
106940983,BSO,Uitgeschreven,01-06-2012,01-06-2021,54244935,,,4553AZ,Philippine,kvk_not_in_active_register
106992843,BSO,Uitgeschreven,08-07-2015,13-11-2019,60948922,000019454791,,3356LC,Papendrecht,kvk_not_in_active_register
107189094,BSO,Uitgeschreven,01-01-2010,13-08-2021,32083838,,,3871SJ,Hoevelaken,kvk_not_in_active_register
107225670,BSO,Uitgeschreven,01-08-2015,01-06-2019,61819026,,,1742RZ,Schagen,kvk_not_in_active_register
107311525,BSO,Uitgeschreven,01-01-2012,16-12-2020,72985348,,,4331GC,Middelburg,kvk_not_in_active_register
107414776,BSO,Uitgeschreven,01-01-2010,01-08-2022,62841475,000031815189,,5045MA,Tilburg,kvk_not_in_active_register
107436310,KDV,Uitgeschreven,14-08-2012,30-06-2018,09084677,,,6852DW,Huissen,kvk_not_in_active_register
