budget_name,regeling,instrument,year,amount_k,baseline_k,deviation_pct,deviation_direction,n_years
"Onderwijs, Cultuur en Wetenschap",Bekostiging voortgezet onderwijs lumpsum,Bekostiging,2021,8812213,34783,25234.6,over,8
Infrastructuur en Waterstaat,Wet Personenvervoer 2000,Subsidies (regelingen),2023,265326,1205,21918.8,over,6
Infrastructuur en Waterstaat,Incidenteel,Subsidies (regelingen),2020,631824,12022,5155.3,over,6
"Onderwijs, Cultuur en Wetenschap",Basisbeurs prestatiebeurs (NR),Leningen,2024,1209060,-35373,-3518.0,under,4
"Onderwijs, Cultuur en Wetenschap",Loopbaanorientatie,Subsidies (regelingen),2023,69192,2193,3054.7,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Gemeenten,Bijdrage aan medeoverheden,2023,57246,2001,2760.9,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Energiebesparing Koopsector,Subsidies (regelingen),2021,90134,3559,2432.3,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Diverse subsidies,Subsidies (regelingen),2020,79984,3799,2005.4,over,6
Economische Zaken en Klimaat,Programmatische Samenwerkingsverbanden,Subsidies (regelingen),2022,108491,5643,1822.7,over,6
Economische Zaken en Klimaat,Programmatische Samenwerkingsverbanden,Subsidies (regelingen),2023,755930,39662,1805.9,over,6
Koninkrijksrelaties,Bijdrage landen,Bijdrage aan medeoverheden,2022,20384,1127,1708.2,over,8
Defensiematerieelbegrotingsfonds,Kennisgebruik,Bekostiging,2023,21000,1384,1416.8,over,4
Defensiematerieelbegrotingsfonds,Kort Cyclische Innovatie,Bekostiging,2023,25426,2018,1160.0,over,4
Financiën,Bijdrage overige agentschappen,Bijdrage aan agentschappen,2023,48258,4291,1024.5,over,6
Binnenlandse Zaken en Koninkrijksrelaties,RVB (Bijdr voor AZ),Bijdrage aan agentschappen,2022,16967,1646,930.8,over,5
Economische Zaken en Klimaat,Versnelde klimaatinvestingen in de industrie,Subsidies (regelingen),2022,32644,3340,877.5,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Logius,Bijdrage aan agentschappen,2023,573134,59248,867.4,over,7
Binnenlandse Zaken en Koninkrijksrelaties,RVO,Bijdrage aan agentschappen,2023,30348,3346,807.0,over,7
Koninkrijksrelaties,Diverse subsidies,Subsidies (regelingen),2023,9164,1049,773.3,over,6
"Landbouw, Natuur en Voedselkwaliteit",Onderzoeksprogrammering,Subsidies (regelingen),2023,144886,16908,756.9,over,7
"Onderwijs, Cultuur en Wetenschap",Tegemoetkoming kosten opleidingsscholen,Bekostiging,2021,40442,4867,731.0,over,7
Buitenlandse Zaken,Subsidieregeling BZ 2006,Subsidies (regelingen),2023,148336,18114,718.9,over,7
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten SVB,Bijdrage aan ZBOs en RWTs,2023,376900,49705,658.3,over,8
"Onderwijs, Cultuur en Wetenschap",Dotatie/onttrekking Algemene Mediareserve,Bekostiging,2019,83809,-15252,-649.5,under,8
Binnenlandse Zaken en Koninkrijksrelaties,Eenvoudig Beter,Subsidies (regelingen),2021,23564,3360,601.3,over,6
Buitenlandse Zaken,CTBTO,Bijdrage aan (inter-)nationale organisaties,2023,7064,1029,586.5,over,8
Financiën,Overig,Bijdrage aan ZBOs en RWTs,2023,7652,1120,582.9,over,4
"Onderwijs, Cultuur en Wetenschap",Bekostiging Primair Onderwijs,Bekostiging,2023,28836704,4312653,568.7,over,6
Economische Zaken en Klimaat,Invest-NL,Subsidies (regelingen),2023,40474,6081,565.6,over,6
Sociale Zaken en Werkgelegenheid,Uitvoeringskosten UWV,Bijdrage aan ZBOs en RWTs,2023,1050806,162392,547.1,over,8
Economische Zaken en Klimaat,Regeling subsidie financiering vaste lasten MKB COVID-19,Subsidies (regelingen),2022,3487603,550468,533.6,over,5
"Onderwijs, Cultuur en Wetenschap",Overige uitgaven (NR),Leningen,2024,30492,4831,531.2,over,4
Binnenlandse Zaken en Koninkrijksrelaties,RVB,Bijdrage aan agentschappen,2022,114530,18352,524.1,over,6
Economische Zaken en Klimaat,Bijdrage aan ACM,Bijdrage aan ZBOs en RWTs,2023,1452472,237554,511.4,over,5
"Landbouw, Natuur en Voedselkwaliteit",Missiegedreven Topsectoren,Subsidies (regelingen),2023,118520,19526,507.0,over,7
Binnenlandse Zaken en Koninkrijksrelaties,AZ-DPC,Bijdrage aan agentschappen,2023,14456,2404,501.2,over,4
Binnenlandse Zaken en Koninkrijksrelaties,RVB,Bijdrage aan agentschappen,2023,301136,51231,487.8,over,6
