cluster_postcode,entity_1_kvk,entity_1_name,entity_1_insolvency,entity_1_bankruptcy_date,entity_2_kvk,entity_2_name,entity_2_insolvency,entity_2_bankruptcy_date,shared_sbi_codes,signals,name_similarity
1716KE,90172752,Carato B.V.,F.15/25/317,2025-11-27,90172752,Carato B.V.,F.13/25/471,2025-11-26,16250,same_postcode;shared_sbi;name_sim_1.00,1.00
4817BL,51110288,DI Blue B.V.,F.02/25/258,2025-09-04,51110288,DI Blue B.V.,F.10/25/331,2025-09-03,70202,same_postcode;shared_sbi;name_sim_1.00,1.00
4817BL,74601725,Digital Innovation Benelux B.V.,S.13/25/25,2025-12-24,74601725,Digital Innovation Benelux B.V.,F.02/25/375,2026-01-01,70201,same_postcode;shared_sbi;name_sim_1.00,1.00
4817BL,74601725,Digital Innovation Benelux B.V.,S.13/25/25,2025-12-24,74601725,Digital Innovation Benelux B.V.,S.02/25/13,2025-12-30,70201,same_postcode;shared_sbi;name_sim_1.00,1.00
4817BL,74601725,Digital Innovation Benelux B.V.,F.02/25/375,2026-01-01,74601725,Digital Innovation Benelux B.V.,S.02/25/13,2025-12-30,70201,same_postcode;shared_sbi;name_sim_1.00,1.00
6827AK,75752247,Golden Wings B.V.,F.08/21/78,2021-05-20,75752247,Golden Wings B.V.,F.18/21/115,2022-05-13,,same_postcode;name_sim_1.00,1.00
1217GL,71776540,Wmozorg diensten B.V.,F.13/26/18,2026-01-21,71776540,Wmozorg diensten B.V.,F.16/26/46,2026-01-30,"64210,78202",same_postcode;shared_sbi;name_sim_1.00,1.00
8448JB,12042925,Comed B.V.,F.03/25/225,2025-08-21,12042925,Comed B.V.,F.18/25/253,2025-08-22,,same_postcode;name_sim_1.00,1.00
2988CK,24186231,Top Logistics B.V.,S.10/25/14,2025-12-04,24186231,Top Logistics B.V.,F.10/25/445,2025-12-08,52250,same_postcode;shared_sbi;name_sim_1.00,1.00
2988CK,61505447,TOP Short Sea Logistics B.V.,F.10/25/446,2025-12-08,61505447,TOP Short Sea Logistics B.V.,S.10/25/15,2025-12-04,52241,same_postcode;shared_sbi;name_sim_1.00,1.00
2988CK,55942008,Top Sea Shipping B.V.,S.10/25/16,2025-12-04,55942008,Top Sea Shipping B.V.,F.10/25/447,2025-12-08,49410,same_postcode;shared_sbi;name_sim_1.00,1.00
2988CK,59854731,TOP Distribution B.V.,S.10/25/13,2025-12-04,59854731,TOP Distribution B.V.,F.10/25/444,2025-12-08,"10890,52250",same_postcode;shared_sbi;name_sim_1.00,1.00
2651JN,63565021,J22 B.V.,F.10/26/29,2026-01-29,63565021,J22 B.V.,F.09/26/24,2026-01-28,"47713,47714,47721,47770",same_postcode;shared_sbi;name_sim_1.00,1.00
4003AZ,77902785,Vava Hoog Catharijne B.V.,F.10/25/347,2025-09-11,77902785,Vava Hoog Catharijne B.V.,F.16/25/437,2025-09-10,"56111,64210",same_postcode;shared_sbi;name_sim_1.00,1.00
4003AZ,77902165,Vava Piusplein B.V.,F.10/25/348,2025-09-11,77902165,Vava Piusplein B.V.,F.02/25/263,2025-09-10,"56111,64210",same_postcode;shared_sbi;name_sim_1.00,1.00
4003AZ,77902394,Vava Leidsenhage B.V.,F.09/25/308,2025-09-10,77902394,Vava Leidsenhage B.V.,F.10/25/344,2025-09-11,56111,same_postcode;shared_sbi;name_sim_1.00,1.00
4003AZ,77894960,Vava Holding B.V.,F.10/25/349,2025-09-12,77894960,Vava Holding B.V.,F.05/25/335,2025-09-11,"55101,64210",same_postcode;shared_sbi;name_sim_1.00,1.00
6673DR,89370481,Constructionwork B.V.,F.05/25/314,2025-08-21,89370481,Constructionwork B.V.,F.15/25/212,2025-08-20,"41000,42110,43212",same_postcode;shared_sbi;name_sim_1.00,1.00
1033NW,68697694,Leave Your Luggage B.V.,F.15/25/252,2025-10-01,68697694,Leave Your Luggage B.V.,F.13/25/395,2025-10-02,52230,same_postcode;shared_sbi;name_sim_1.00,1.00
