kvk_number,company_name,registration_date,insolvency_date,days_to_insolvency,sbi_codes,postcode,address,city,insolventienummer
54446597,Outdoors Holten Exploitatie B.V.,2025-09-06,2025-09-09,3,"55101,55201,93299",7571ED,Marktstraat 1,Oldenzaal,F.08/25/233
54536499,DRIS Horeca Beheer B.V.,2025-09-06,2025-09-09,3,64210,7571ED,Marktstraat 1,Oldenzaal,F.08/25/234
64136825,Zonnegilde Holding B.V.,2025-09-06,2025-09-09,3,"64210,70102,70202",8263BL,Betonstraat 9,Kampen,F.08/25/229
67691293,Kemari Digital B.V.,2025-09-06,2025-09-09,3,"59111,63100,73110",7523MD,Moutlaan 38,Enschede,F.08/25/231
63123738,Zonnegilde Facility B.V.,2025-09-06,2025-09-09,3,43222,8263BL,Betonstraat 9,Kampen,F.08/25/228
54446090,Bikink Holding B.V.,2025-09-06,2025-09-09,3,64210,7571ED,Marktstraat 1,Oldenzaal,F.08/25/235
56334168,Zonnegilde B.V.,2025-09-06,2025-09-09,3,"35121,35122,46842",8263BL,Betonstraat 9,Kampen,F.08/25/227
69277567,Zonnegilde Montage B.V.,2025-09-06,2025-09-09,3,43211,8263BL,Betonstraat 9,Kampen,F.08/25/226
60554681,Lokale Zon PV-Distributie B.V.,2025-09-06,2025-09-09,3,46644,8263BL,Betonstraat 9,Kampen,F.08/25/230
86886029,Schone Energie Groep B.V.,2025-09-06,2025-09-09,3,"64210,70202",8263BL,Betonstraat 9,Kampen,F.13/25/371
85007773,Grillhelden H'waard B.V.,2025-09-06,2025-09-09,3,"10850,47221,56210",1507BA,Aris van Broekweg 15,Zaandam,S.15/25/5
89323300,Smokey Meat B.V.,2025-09-06,2025-09-10,4,56111,3233AR,Kerkplein 22,Oostvoorne,F.10/25/336
77902335,Vava Plaza B.V.,2025-09-06,2025-09-10,4,"56111,64210",4003AZ,Laan van Westroijen 10,Tiel,F.10/25/337
81618719,BLD B.V.,2025-09-06,2025-09-10,4,"41000,71120",5021LL,Groenstraat 139,Tilburg,F.02/25/261
93197772,Piet de Leeuw Monnickendam B.V.,2025-09-06,2025-09-10,4,55101,1141AT,Haringburgwal 3,Monnickendam,F.15/25/224
66773415,Ritos,2025-09-06,2025-09-10,4,56111,3512TA,Potterstraat 8,Utrecht,F.16/25/439
94264953,A.C.M. van Lieshout,2025-09-06,2025-09-10,4,56300,5038WL,Piusplein 2,Tilburg,F.02/25/259
85176435,SULTA Staffing Netherlands B.V.,2025-09-06,2025-09-10,4,"78100,78201",5101BB,Kerkstraat 41,Dongen,F.02/25/262
74300431,Costa B.V.,2025-09-06,2025-09-10,4,56111,1781AS,Willemsoord 51,Den Helder,F.15/25/223
88233251,El Baba Kirolos,2025-09-06,2025-09-10,4,56111,1561AL,Zuiderhoofdstraat 6,Krommenie,F.15/25/234
85522333,Smart CJM B.V.,2025-09-06,2025-09-10,4,62100,2408AV,Flemingweg 8,Alphen aan den Rijn,F.09/25/316
77913817,Vava Binnenrotte B.V.,2025-09-06,2025-09-10,4,"56111,64210",3011HC,Binnenrotte 142,Rotterdam,F.10/25/338
66308569,Electrobot Holding B.V.,2025-09-06,2025-09-10,4,70102,2153PA,Drachmeweg 9,Nieuw-Vennep,F.15/25/225
67363601,Fundraising and Strategy International B.V.,2025-09-06,2025-09-10,4,"73300,82990",1216CE,Gijsbrecht van Amstelstraat 486,Hilversum,F.13/25/372
65100786,Comfort Kunststof Kozijnen,2025-09-06,2025-09-10,4,47526,2809PA,James Wattstraat 15,Gouda,F.09/25/305
08042960,E.C.S.-van Vught B.V.,2025-09-06,2025-09-10,4,28290,6971LE,L.R. Beijnenlaan 6,Brummen,F.05/25/334
60077670,CoFaNed B.V.,2025-09-06,2025-09-10,4,22250,9541BW,Irenestraat 20,Vlagtwedde,F.18/25/264
74772635,Eindeloos B.V.,2025-09-06,2025-09-10,4,56111,8302CW,Beursstraat 5,Emmeloord,F.16/25/441
61155748,African Clean Energy B.V.,2025-09-06,2025-09-10,4,"46431,47541,62100",1013AP,Danzigerkade 15,Amsterdam,F.13/25/375
81387482,BOX Solar B.V.,2025-09-06,2025-09-10,4,"35150,43211,71120",3741LS,Baarnsche dijk 12,Baarn,F.16/25/446
75808447,AdHoc Zorgdiensten,2025-09-06,2025-09-10,4,"43410,46838,53201",8224DM,Baai 40,Lelystad,F.16/25/447
95008349,Kinderen van September B.V.,2025-09-06,2025-09-10,4,88910,8912BA,Kelvinstraat 8,Leeuwarden,F.18/25/265
80823017,Velocity Limburg B.V.,2025-09-06,2025-09-10,4,"62100,74990,77210",6422RL,Bohr 10,Heerlen,F.03/25/232
94920648,Ecotec Energy B.V.,2025-09-06,2025-09-10,4,"46500,47789",3404LD,Edisonweg 50,IJsselstein,F.16/25/444
